AUS,551,2,M
AUS,316,2,M
GER,160,2,W
GER,265,1,M
ARG,363,4,M
ARG,529,1,W
ENG,301,6,W
AUS,60,2,M
ARG,102,7,M
US,219,8,M
US,476,10,W
MEX,93,5,M
ENG,442,9,M
ARG,559,10,W
ENG,389,10,W
MEX,121,11,W
ENG,489,12,W
AUS,88,10,W
AUS,455,3,W
AUS,491,13,M
ENG,193,10,M
ARG,508,14,W
GER,345,5,M
ARG,116,9,M
ENG,208,2,W
MEX,7,9,M
ARG,56,15,W
US,404,6,W
ARG,43,9,M
GER,188,9,M
AUS,275,8,W
ENG,563,9,W
ENG,543,14,M
ENG,23,6,W
MEX,490,7,W
ENG,444,4,M
AUS,331,2,M
US,526,12,M
ENG,398,15,M
US,141,2,W
ARG,421,16,M
ARG,427,13,M
GER,220,4,M
MEX,223,8,M
US,257,17,M
US,98,6,M
AUS,24,7,W
ENG,557,4,W
AUS,34,16,M
GER,38,15,M
GER,79,15,W
AUS,385,1,W
AUS,581,9,M
US,349,9,M
US,373,14,M
US,210,3,W
GER,366,5,W
ARG,30,10,W
AUS,130,17,M
AUS,377,11,W
AUS,449,13,W
ARG,468,11,M
GER,540,7,W
GER,407,4,W
MEX,401,8,W
GER,21,2,M
US,561,15,M
ARG,417,7,W
AUS,28,10,W
GER,291,3,M
MEX,452,4,W
AUS,255,11,M
ARG,458,3,W
ENG,438,5,M
MEX,44,17,M
ARG,532,14,W
MEX,579,17,M
US,270,17,M
US,144,15,W
AUS,299,11,M
AUS,194,5,W
MEX,496,7,M
US,203,17,W
US,242,7,W
ARG,20,3,M
ARG,520,9,M
US,292,10,W
US,52,8,M
GER,14,13,M
US,110,4,W
ARG,335,1,M
US,392,7,M
AUS,311,7,W
ENG,80,15,W
MEX,206,6,M
AUS,450,3,W
AUS,481,6,M
AUS,37,15,M
MEX,471,15,W
US,339,15,W
GER,246,7,W
GER,297,1,M
MEX,222,17,W
ENG,569,7,M
AUS,253,7,M
US,45,15,W
GER,248,2,M
US,432,11,M
US,469,2,W
US,1,9,W
US,218,10,W
ARG,546,1,W
GER,517,4,M
US,104,11,W
MEX,13,14,M
ENG,457,2,M
ARG,145,16,M
ENG,243,5,W
GER,465,8,W
US,73,11,M
ARG,390,17,W
ENG,92,15,M
ARG,101,6,M
US,485,15,M
ARG,39,14,M
AUS,250,5,W
GER,550,10,M
MEX,238,15,M
GER,419,13,M
MEX,280,15,M
MEX,480,8,M
ARG,186,4,W
US,85,15,M
US,477,1,W
GER,531,5,M
GER,89,16,M
ENG,235,9,M
AUS,11,14,W
ARG,313,10,W
US,463,13,W
GER,286,8,M
GER,2,14,W
US,123,9,M
MEX,500,4,M
GER,370,5,M
ARG,456,17,M
US,86,6,W
ARG,323,16,M
GER,524,15,M
MEX,394,13,M
AUS,587,4,M
AUS,576,6,W
GER,567,17,W
ENG,593,13,W
GER,368,9,W
US,112,14,M
ARG,48,14,W
GER,254,15,W
GER,504,12,W
ENG,137,6,W
GER,55,1,W
GER,396,10,W
GER,514,9,M
US,260,4,W
ARG,259,11,W
US,574,4,M
US,533,7,M
GER,143,5,M
MEX,590,8,M
US,41,1,W
US,409,7,M
MEX,91,17,M
ENG,332,5,M
AUS,231,17,W
MEX,555,7,W
GER,63,12,W
US,198,15,M
US,134,2,M
MEX,138,17,M
US,527,9,M
MEX,22,15,M
ENG,165,5,W
AUS,545,7,W
US,306,5,M
AUS,369,13,W
GER,217,5,W
ARG,309,3,M
AUS,169,16,M
GER,336,2,M
AUS,324,5,M
AUS,181,14,W
ENG,295,10,M
AUS,305,2,M
GER,371,1,W
US,462,4,W
US,197,3,W
ENG,406,11,M
AUS,215,16,M
ARG,67,14,M
ENG,565,9,W
MEX,330,1,M
ENG,107,2,M
MEX,58,10,M
US,161,11,M
MEX,156,9,M
ARG,201,16,M
US,111,5,M
GER,272,2,W
ENG,592,13,M
ARG,241,14,W
ENG,503,14,W
GER,125,7,W
US,249,1,M
US,278,6,W
MEX,534,16,M
AUS,356,6,W
GER,277,1,W
ENG,440,17,W
US,367,11,M
ENG,155,9,M
ENG,562,7,W
ARG,142,15,M
ENG,83,7,W
AUS,553,11,M
ARG,588,7,M
AUS,100,8,M
MEX,355,6,M
ARG,240,6,M
MEX,26,7,M
ARG,319,17,W
ARG,446,2,W
GER,558,8,W
MEX,87,10,M
ENG,445,2,M
MEX,75,11,M
ARG,162,7,M
AUS,290,3,W
US,322,16,W
AUS,135,14,M
US,229,8,M
ARG,513,12,W
US,538,1,M
MEX,274,1,M
US,90,4,W
US,314,1,M
US,441,7,M
GER,146,12,M
US,19,4,M
ARG,379,17,M
ENG,473,16,W
ARG,387,10,W
ENG,152,11,W
US,174,12,M
GER,346,13,M
GER,129,15,W
GER,261,6,M
MEX,583,7,M
US,106,6,W
ENG,537,12,W
ARG,484,5,W
ARG,435,17,M
AUS,391,6,M
GER,251,14,M
AUS,410,15,W
MEX,353,4,M
ENG,46,16,M
GER,202,10,M
MEX,224,16,M
US,281,3,M
MEX,549,9,M
AUS,62,1,M
ARG,393,6,M
ENG,153,8,W
ENG,380,14,W
ENG,318,9,M
AUS,472,2,W
ENG,460,5,W
ENG,54,4,W
ARG,383,5,M
GER,433,13,W
ARG,252,12,W
AUS,478,1,M
MEX,556,17,W
ARG,244,8,W
ARG,343,15,W
ENG,109,8,W
GER,35,1,M
ARG,347,17,W
ARG,506,8,W
ARG,279,6,M
AUS,42,12,M
MEX,115,11,M
US,530,17,M
ENG,578,17,M
US,126,4,M
AUS,482,12,W
ENG,120,11,W
ENG,350,2,W
US,595,2,W
AUS,225,10,M
ARG,375,13,M
MEX,415,8,W
MEX,443,12,M
ENG,3,2,W
ENG,483,6,M
ARG,136,1,W
US,15,13,W
ARG,400,10,M
US,340,15,M
ARG,416,17,W
AUS,487,8,M
AUS,84,2,M
ARG,173,12,M
MEX,180,16,W
AUS,589,8,M
AUS,82,1,W
ENG,285,5,W
AUS,140,13,M
MEX,467,2,W
MEX,461,15,W
GER,434,1,M
US,151,15,M
US,519,3,M
MEX,374,10,W
GER,381,4,W
US,348,14,W
MEX,304,4,M
MEX,547,3,W
AUS,178,5,W
ARG,499,13,M
ARG,148,2,M
ARG,239,17,M
GER,191,15,W
ARG,9,9,M
ENG,334,7,M
ENG,4,5,M
MEX,212,6,M
AUS,78,7,W
MEX,402,10,W
MEX,507,17,W
AUS,214,11,M
GER,479,10,W
MEX,422,1,M
US,521,15,M
ARG,325,17,W
AUS,352,6,M
ARG,157,1,W
GER,267,5,W
MEX,47,2,W
AUS,437,7,M
US,149,2,W
US,185,16,W
ENG,288,14,M
GER,190,3,W
MEX,591,7,M
ARG,234,17,W
US,310,4,M
ARG,544,4,W
ARG,124,13,W
MEX,376,12,W
GER,164,5,M
AUS,384,3,W
US,523,7,M
ENG,53,2,M
ENG,560,15,W
US,133,1,M
ENG,232,11,W
ARG,283,9,M
US,228,16,M
MEX,577,15,M
US,74,13,M
ARG,548,10,W
ENG,293,9,M
ENG,263,7,W
MEX,72,12,M
AUS,29,3,M
GER,95,9,W
ARG,354,2,M
AUS,70,9,M
ARG,266,13,W
ARG,413,8,M
AUS,245,10,M
MEX,68,13,M
ARG,414,12,W
ARG,451,1,M
ENG,51,6,W
ARG,536,17,M
US,204,3,M
MEX,105,6,W
AUS,154,2,W
ARG,131,11,M
AUS,502,1,W
ENG,16,9,W
GER,179,11,M
AUS,159,14,M
MEX,573,8,W
GER,554,4,M
ARG,525,15,M
US,33,5,W
MEX,236,5,W
AUS,464,10,W
US,359,12,W
AUS,167,2,W
ARG,18,3,W
AUS,94,6,M
US,308,16,M
ENG,360,4,M
MEX,8,3,M
ARG,150,16,M
AUS,168,3,W
US,509,12,W
MEX,535,11,M
US,119,2,W
GER,302,5,M
ARG,516,16,W
ARG,439,10,W
ENG,187,14,M
ARG,408,8,M
ENG,333,16,M
ARG,498,8,M
GER,6,1,M
ARG,493,6,M
ENG,303,14,M
ARG,494,1,M
AUS,453,7,M
GER,594,5,M
US,447,4,W
AUS,492,9,W
ENG,171,7,M
AUS,405,16,M
US,117,11,M
US,341,16,M
ARG,209,6,M
GER,378,11,M
GER,258,7,M
MEX,586,10,W
ENG,418,15,M
MEX,294,5,M
MEX,184,11,W
ENG,539,15,M
