PERMNO,date,PRC,RET,SHROUT,RETX,sprtrn
18248,2018-11-26,9.63000,C,44000,C,0.015532
18248,2018-11-27,-9.63500,0.000519,44000,0.000519,0.003262
18248,2018-11-28,-9.64000,0.000519,44000,0.000519,0.022974
18248,2018-11-29,9.63000,-0.001037,44000,-0.001037,-0.002198
18248,2018-11-30,9.63000,0.000000,44000,0.000000,0.008186
18248,2018-12-03,9.63000,0.000000,44000,0.000000,0.010941
18248,2018-12-04,9.63000,0.000000,44000,0.000000,-0.032365
18248,2018-12-06,9.63000,0.000000,44000,0.000000,-0.001522
18248,2018-12-07,9.63000,0.000000,44000,0.000000,-0.023320
18248,2018-12-10,9.63000,0.000000,44000,0.000000,0.001762
18248,2018-12-11,9.63000,0.000000,44000,0.000000,-0.000356
18248,2018-12-12,9.75000,0.012461,44000,0.012461,0.005419
18248,2018-12-13,9.63000,-0.012308,44000,-0.012308,-0.000200
18248,2018-12-14,9.65000,0.002077,44000,0.002077,-0.019087
18248,2018-12-17,9.60000,-0.005181,44000,-0.005181,-0.020773
18248,2018-12-18,9.57000,-0.003125,44000,-0.003125,0.000086
18248,2018-12-19,9.55000,-0.002090,44000,-0.002090,-0.015396
18248,2018-12-20,-9.59500,0.004712,44000,0.004712,-0.015772
18248,2018-12-21,9.64000,0.004690,44000,0.004690,-0.020588
18248,2018-12-24,9.64000,0.000000,44000,0.000000,-0.027112
18248,2018-12-26,9.64000,0.000000,44000,0.000000,0.049594
18248,2018-12-27,9.65000,0.001037,44000,0.001037,0.008563
18248,2018-12-28,9.65000,0.000000,44000,0.000000,-0.001242
18248,2018-12-31,-9.64500,-0.000518,44000,-0.000518,0.008492
18248,2019-01-02,9.65000,0.000518,44000,0.000518,0.001269
18248,2019-01-03,9.63000,-0.002072,44000,-0.002072,-0.024757
18248,2019-01-04,9.64000,0.001038,44000,0.001038,0.034336
18248,2019-01-07,9.64000,0.000000,44000,0.000000,0.007010
18248,2019-01-08,9.63000,-0.001037,44000,-0.001037,0.009695
18248,2019-01-09,-9.69000,0.006230,44000,0.006230,0.004098
18248,2019-01-10,9.71250,0.002322,44000,0.002322,0.004518
18248,2019-01-11,9.70000,-0.001287,44000,-0.001287,-0.000146
18248,2019-01-14,-9.75500,0.005670,44000,0.005670,-0.005258
18248,2019-01-15,9.70000,-0.005638,44000,-0.005638,0.010722
18248,2019-01-16,9.63000,-0.007216,44000,-0.007216,0.002222
18248,2019-01-17,9.70000,0.007269,44000,0.007269,0.007591
18248,2019-01-18,9.75000,0.005155,44000,0.005155,0.013183
18248,2019-01-22,9.79370,0.004482,44000,0.004482,-0.014157
18248,2019-01-23,9.78010,-0.001389,44000,-0.001389,0.002203
18248,2019-01-24,9.70000,-0.008190,44000,-0.008190,0.001376
18248,2019-01-25,-9.73500,0.003608,44000,0.003608,0.008489
18248,2019-01-28,9.77000,0.003595,44000,0.003595,-0.007847
18248,2019-01-29,-9.77500,0.000512,44000,0.000512,-0.001456
18248,2019-01-30,-9.76500,-0.001023,44000,-0.001023,0.015549
18248,2019-01-31,-9.74000,-0.002560,44000,-0.002560,0.008597
18248,2019-02-01,9.75000,0.001027,44000,0.001027,0.000899
18248,2019-02-04,9.70000,-0.005128,44000,-0.005128,0.006776
18248,2019-02-05,9.75000,0.005155,44000,0.005155,0.004708
18248,2019-02-06,9.80000,0.005128,44000,0.005128,-0.002224
18248,2019-02-07,9.79290,-0.000725,44000,-0.000725,-0.009357
18248,2019-02-08,9.80000,0.000725,44000,0.000725,0.000676
18248,2019-02-11,-9.85000,0.005102,44000,0.005102,0.000709
18248,2019-02-12,-9.85000,0.000000,44000,0.000000,0.012890
18248,2019-02-13,-9.85000,0.000000,44000,0.000000,0.003024
18248,2019-02-14,9.75000,-0.010152,44000,-0.010152,-0.002652
18248,2019-02-15,9.76000,0.001026,44000,0.001026,0.010879
18248,2019-02-19,-9.82500,0.006660,44000,0.006660,0.001499
18248,2019-02-20,9.85000,0.002545,44000,0.002545,0.001777
18248,2019-02-21,9.84000,-0.001015,44000,-0.001015,-0.003526
18248,2019-02-22,9.85000,0.001016,44000,0.001016,0.006411
